City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Barra Do Garcas,BR,87.33,overcast clouds,-15.89,-52.2567,Pousada Tropical
585,Golden Gate,US,80.98,clear sky,26.1879,-81.6951,Quality Inn & Suites Golf Resort
586,Calvinia,ZA,78.64,few clouds,-31.4707,19.776,Die Lemoenhuis
587,Champerico,GT,88.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
588,Harper,LR,85.5,overcast clouds,4.375,-7.7169,Screensaver
591,Salto,UY,80.87,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
592,Senador Jose Porfirio,BR,75.24,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
593,Omboue,GA,81.68,overcast clouds,-1.5746,9.2618,Hotel Olako
596,Laranjeiras,BR,85.62,overcast clouds,-10.8064,-37.17,Rota Para Hotel Fazenda Boa Luz Interditada
597,Madras,IN,85.98,clear sky,13.0878,80.2785,"Taj Connemara, Chennai"
598,Manavalakurichi,IN,82.06,scattered clouds,8.1333,77.3,Jebinrio home
600,Malakwal,PK,77.54,clear sky,32.5536,73.2123,Green Town
603,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
606,Tecolutla,MX,75.06,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
609,Camocim,BR,82.62,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
610,Burhar,IN,79.36,clear sky,23.2167,81.5333,REPL Camp
615,Luz,BR,87.17,clear sky,-19.8014,-45.6856,Hotel Turista
616,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
620,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
625,Sao Miguel Do Araguaia,BR,87.67,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
631,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
632,Kupang,ID,77.77,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
635,Antalaha,MG,77.76,few clouds,-14.9003,50.2788,Hotel Vitasoa
646,San Miguel,SV,87.46,clear sky,13.4833,-88.1833,Excalibur
