City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Gaya,IN,24.7833,85.0,82.49,10,3,3.11,clear sky
79,Mahebourg,MU,-20.4081,57.7,79.25,71,32,5.93,scattered clouds
80,Saldanha,ZA,-33.0117,17.9442,64.92,77,51,12.82,broken clouds
81,Teya,RU,60.3778,92.6267,-2.74,100,47,3.11,scattered clouds
82,Luderitz,NA,-26.6481,15.1594,66.92,70,0,5.91,clear sky
83,San Patricio,US,28.017,-97.5169,78.89,54,1,18.03,clear sky
84,Khuzhir,RU,53.1939,107.3397,10.09,84,3,6.8,clear sky
85,Mataura,NZ,-46.1927,168.8643,55.54,96,100,1.21,overcast clouds
86,Luganville,VU,-15.5333,167.1667,78.01,89,100,4.25,moderate rain
87,Deputatskiy,RU,69.3,139.9,-12.8,90,60,2.77,broken clouds
88,Inverness,GB,57.4791,-4.224,58.91,44,20,1.14,few clouds
89,Touros,BR,-5.1989,-35.4608,86.74,64,60,14.43,broken clouds
90,Kahului,US,20.8947,-156.47,73.85,72,0,4.61,clear sky
91,Fairbanks,US,64.8378,-147.7164,21.16,63,75,0.0,broken clouds
92,Acapulco,MX,16.8634,-99.8901,84.02,30,0,3.44,clear sky
93,Chokurdakh,RU,70.6333,147.9167,-16.31,100,74,4.41,broken clouds
94,Anloga,GH,5.7947,0.8973,85.14,76,100,15.43,overcast clouds
95,Playa Vicente,MX,17.8333,-95.8167,80.69,45,58,4.9,broken clouds
96,Northam,GB,51.0333,-4.2167,58.24,75,100,10.85,overcast clouds
97,Codrington,AU,-38.2667,141.9667,60.22,75,64,7.2,broken clouds
98,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,6.91,few clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,77.02,59,0,11.5,clear sky
100,Carnarvon,AU,-24.8667,113.6333,69.87,94,0,12.66,light rain
101,Chippewa Falls,US,44.9369,-91.3929,28.58,37,0,5.75,clear sky
102,Yellowknife,CA,62.456,-114.3525,5.41,88,100,3.0,overcast clouds
103,Chuy,UY,-33.6971,-53.4616,77.94,43,0,3.56,clear sky
104,Constitucion,CL,-35.3333,-72.4167,65.01,50,0,13.94,clear sky
105,Pevek,RU,69.7008,170.3133,-21.3,96,25,4.29,scattered clouds
106,Qaqortoq,GL,60.7167,-46.0333,35.11,61,75,4.21,broken clouds
107,Semey,KZ,50.4111,80.2275,31.71,89,100,7.87,overcast clouds
